objectid,title,creator,publisher,date,date is approximate?,description,subject,relation,contributing institution,publisher digital,source,listing code,resource identifier,format original,format digital,type,digitization specifications,rights,language,metadata cataloger,date created,date modified,filename,oclc number,date created,date modified,reference url,contentdm number,contentdm file name,contentdm file path
ijc_al_grey_001,Al Grey in military costume,,,1942,y,Portrait of Al Grey in military costume. The photograph is laid on a background depicting patriotic motifs. Inscribed above the photograph: Army and Navy Forever. The photograph and the background drawings occupy the complete front of this 8 x 6 inch oval metal frame,"Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 1",IJC004IV,AG001,4 1/2 x 3 inch hand colored photograph,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664823552,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/243,243,244.jp2,/ijcag/image/244.jp2
ijc_al_grey_002,Elwood,"Olan Mills Incorporated, Springfield (OH)",,1980,y,A boy. The photograph is dedicated to Grand mom and Grand pop from Elwood,"Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 2",IJC004IV,AG002,5 x 3 1/2 inch black & white photograph,image/jpeg,Image;StillImage,"500 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664823608,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/244,244,245.jp2,/ijcag/image/245.jp2
ijc_al_grey_003,Unidentified boy and girl,Studer's of Texas,,1960-06,,Unidentified boy and girl,"Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 2",IJC004IV,AG003,4 1/2 x 3 1/4 inch black & white photograph,image/jpeg,Image;StillImage,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664815775,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/245,245,246.jp2,/ijcag/image/246.jp2
ijc_al_grey_004,Keith Bradley Bennett,,,1958,,"A baby. Handwritten on the lower right corner of the photograph: Keith Bradley Bennett, 1958","Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 2",IJC004IV,AG004,7 x 5 inch black & white photograph,image/jpeg,Image;StillImage,"400 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664823628,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/246,246,247.jp2,/ijcag/image/247.jp2
ijc_al_grey_005,Jennie Mary,Azo?,,1965,y,"A baby. Handwritten at the bottom of the photograph: Jennie Mary, age 3 months","Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 2",IJC004IV,AG005,5 1/2 x 3 1/2 inch black & white photograph,image/jpeg,Image;StillImage,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664815773,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/247,247,248.jp2,/ijcag/image/248.jp2
ijc_al_grey_006,Delores Williams,Azo?,,1960,y,"A baby. Handwritten on the back of the photograph: Delores Williams, 8 months old","Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 2",IJC004IV,AG006,5 1/2 x 3 1/2 inch black & white photograph,image/jpeg,Image;StillImage,"400 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664823532,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/248,248,249.jp2,/ijcag/image/249.jp2
ijc_al_grey_007,Unidentified baby,,,1940,y,Unidentified baby,"Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 2",IJC004IV,AG007,7 x 5 inch black & white photograph,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664823643,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/249,249,250.jp2,/ijcag/image/250.jp2
ijc_al_grey_008,Diane,,,1965,y,"A baby. The photograph is in a paper frame dedicated to Grand mom and Grand pop by Diane, age 3 months","Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 2",IJC004IV,AG008,5 x 3 1/2 inch black & white photograph,image/jpeg,Image;StillImage,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664823562,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/250,250,251.jp2,/ijcag/image/251.jp2
ijc_al_grey_009,Unidentified woman,Loring Studios,,1965,y,Portrait of an unidentified woman,"Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 3",IJC004IV,AG009,9 1/2 x 7 inch hand colored photograph,image/jpeg,Image;StillImage,"250 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664823527,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/251,251,252.jp2,/ijcag/image/252.jp2
ijc_al_grey_010,Three unidentified girls,,,1970,y,Three unidentified girls,"Grey, Al -- Archive",Al Grey-Rosalie Soladar Memorial Collection,"International Jazz Collections, University of Idaho Archives and Special Collections",University of Idaho Library Digital Initiatives,"MG004, Box 1, Folder 3",IJC004IV,AG010,8 x 10 inch hand colored photograph,image/jpeg,Image;StillImage,"200 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",eng,Laura Guedes and Deborah Green,2008-10-22,2010-04-05,,664815778,2010-04-06,2014-04-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcag/id/252,252,253.jp2,/ijcag/image/253.jp2
